data_source,zpid,address,price,bedrooms,bathrooms,sqft,lot_size,year_built,latitude,longitude,property_type,listing_url,zestimate,days_on_market,price_change,listing_status,photos,last_updated,price_per_sqft,has_garage,neighborhood,overall_score,price_score,commute_score,size_score,age_score,location_score,market_score,meets_requirements,recommendation
zillow_rapidapi,1968939,"2 Melbourne Ave SE, Minneapolis, MN 55414",419900.0,4.0,3.0,2676.0,3920.4,2000,44.96621,-93.2101,Single Family,https://www.zillow.com/homedetails/2-Melbourne-Ave-SE-Minneapolis-MN-55414/1968939_zpid/,500300.0,3.0,0.0,For Sale,https://photos.zillowstatic.com/fp/57557ab92a55904ef577d9ac4b970f87-p_e.jpg,2025-05-24T14:10:28.550914,157.0,False,Minneapolis,0.88,0.95,0.888,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1749549,"4536 46th Ave S, Minneapolis, MN 55406",415000.0,3.0,2.0,2224.0,5227.2,2000,44.92047,-93.20802,Single Family,https://www.zillow.com/homedetails/4536-46th-Ave-S-Minneapolis-MN-55406/1749549_zpid/,424700.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/ac29e2758053441459639e9bd836066c-p_e.jpg,2025-05-24T14:10:28.551838,187.0,False,Minneapolis,0.86,0.963,0.806,0.956,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1829150,"4638 Wentworth Ave, Minneapolis, MN 55419",420000.0,4.0,2.0,2069.0,6098.4,2000,44.918198,-93.28092,Single Family,https://www.zillow.com/homedetails/4638-Wentworth-Ave-Minneapolis-MN-55419/1829150_zpid/,424600.0,4.0,0.0,For Sale,https://photos.zillowstatic.com/fp/353e2f75d1fa1caf05cd9f94f5ddac65-p_e.jpg,2025-05-24T14:10:28.550727,203.0,False,Minneapolis,0.857,0.95,0.832,0.917,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1820189,"5025 16th Ave S, Minneapolis, MN 55417",445000.0,3.0,2.0,2671.0,4791.6,2000,44.91164,-93.25079,Single Family,https://www.zillow.com/homedetails/5025-16th-Ave-S-Minneapolis-MN-55417/1820189_zpid/,0.0,2.0,0.0,For Sale,https://photos.zillowstatic.com/fp/a8dfb180a76e781170f763432378df50-p_e.jpg,2025-05-24T14:10:28.551155,167.0,False,Minneapolis,0.85,0.887,0.815,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1850084,"2122 Thomas Ave N, Minneapolis, MN 55411",244900.0,3.0,1.0,2461.0,5227.2,2000,45.001324,-93.31296,Single Family,https://www.zillow.com/homedetails/2122-Thomas-Ave-N-Minneapolis-MN-55411/1850084_zpid/,245700.0,3.0,0.0,For Sale,https://photos.zillowstatic.com/fp/1b70262a76696b6dfda190526096b7cf-p_e.jpg,2025-05-24T14:10:19.559928,100.0,False,Minneapolis,0.831,0.755,0.886,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1839211,"2318 Logan Ave N, Minneapolis, MN 55411",162000.0,3.0,2.0,2129.0,6098.4,2000,45.002995,-93.30475,Single Family,https://www.zillow.com/homedetails/2318-Logan-Ave-N-Minneapolis-MN-55411/1839211_zpid/,0.0,129.0,0.0,For Sale,https://photos.zillowstatic.com/fp/086ea2afcfcad61083b90ad6809e0f63-p_e.jpg,2025-05-24T14:10:19.558888,76.0,False,Minneapolis,0.823,0.838,0.896,0.932,0.8,0.7,0.7,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,448138822,"2320 Logan Ave N, Minneapolis, MN 55411",162000.0,3.0,2.0,2129.0,6098.4,2000,45.002995,-93.30475,Single Family,https://www.zillow.com/homedetails/2320-Logan-Ave-N-Minneapolis-MN-55411/448138822_zpid/,162400.0,78.0,0.0,For Sale,https://photos.zillowstatic.com/fp/4a55d3b10f471d8de76c240acac29e6b-p_e.jpg,2025-05-24T14:10:19.559375,76.0,False,Minneapolis,0.823,0.838,0.896,0.932,0.8,0.7,0.7,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1849623,"2522 Thomas Ave N, Minneapolis, MN 55411",270000.0,3.0,2.0,2354.0,5227.2,2000,45.00569,-93.31296,Single Family,https://www.zillow.com/homedetails/2522-Thomas-Ave-N-Minneapolis-MN-55411/1849623_zpid/,271000.0,0.0,0.0,For Sale,https://photos.zillowstatic.com/fp/60daf1d16c28de8f58408a929b2e3104-p_e.jpg,2025-05-24T14:10:19.560435,115.0,False,Minneapolis,0.821,0.73,0.878,0.988,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1773387,"3431 Oliver Ave N, Minneapolis, MN 55412",184900.0,3.0,2.0,2382.0,4791.6,2000,45.017742,-93.30735,Single Family,https://www.zillow.com/homedetails/3431-Oliver-Ave-N-Minneapolis-MN-55412/1773387_zpid/,0.0,29.0,0.0,For Sale,https://photos.zillowstatic.com/fp/039f69454924dbb1bfeb91026f1499b9-p_e.jpg,2025-05-24T14:10:19.560186,78.0,False,Minneapolis,0.82,0.815,0.862,0.995,0.8,0.7,0.7,False,❌ SKIP - Doesn't meet requirements
zillow_rapidapi,1959540,"241 Queen Ave S, Minneapolis, MN 55405",324900.0,3.0,2.0,2590.0,5227.2,2000,44.974133,-93.30927,Single Family,https://www.zillow.com/homedetails/241-Queen-Ave-S-Minneapolis-MN-55405/1959540_zpid/,338700.0,3.0,0.0,For Sale,https://photos.zillowstatic.com/fp/7601f2925a9823becf9638ae24b94494-p_e.jpg,2025-05-24T14:10:19.558807,125.0,False,Minneapolis,0.816,0.675,0.913,1.0,0.8,0.7,0.9,False,❌ SKIP - Doesn't meet requirements
